,user_handle,tweet
243,Tripurasundari,Try spreading lies every time Mr Saket and have egg on your face every time . You tried with Rafale too if I am not wrong !
244,वाल्मीकि,"इतना रीसर्च? क्या जरूरत थी?

थानोस को पुछ लेते।"
245,TolerantIndian,"It's  is good for india. India's strategic investment in Micron will usher in technology transfer, and chip manufacturing on the horizon, India is poised to become a global tech powerhouse. A wise investment that'll unlock endless possibilities."
246,Shams Intekhab Iqbal,"Is he the PM of Gujarat,all projects are going to Gujarat"
247,Mangifera Indica,We need to find out who owns Micron and whether their windfall gain is channelled back to a party or leader through kickbacks or electoral bonds.
248,Gaz,"Abe ghonchu 2.5 billion USD means approximately 20000 crores rupees. Now compare it to the money spent.
Thats why we say gulami chamche."
249,1BAD Bala,Chor Momo didi is crying?? Did you lick her feet today - or she is on a wheel chor
250,Praveen Kumar,After reading this article Saket I just remember one story narrated by Arvind kejariwal in Delhi Vidhan sabha
251,The Other Point of View,"Go to the #SupremeCourt 
Thats the favourite place U guys love to go.
And use it as a pretext to crowd fund some crores,"
252,chandan singh,If this true it's shocking...but we are used to hear such news from this kartavya kaal era...
253,Hunn Gagan Tandav,"A pure flashy drama due on #Udghatan of Guj. Micron (of course b4 2024 Chuav), where NaMo wud blabber as IIT Grad. n @MicronCEO pictured as just #ChauthiPass ! 
Xtra in India, #SMehrotra to b in Delhi Govt. School with #AK n #Atishi to watch #DelhiRoboticsLeague !! @AtishiAAP "
254,Shashank,Gokhale Dalal hai
255,Sri Ramudu,"Arrey unpud, keep peddling ur fake and false news."
256,Sanjoy Moulik,Another Master stroke by the Supreme Leader. Wah Modi Ji Wah!
257,Jagannath Bachu,$2.7 bn is not INR 2274 CR Pl check.
258,Deep,"Subha utho, scam dundo, fir apne man se scam banao, twitter me rayta fehlao aur so jao...."
259,Nitin,Pehle million and billions ka farak googoe kar le . fir calculation karke tweet karna .
260,A-Political,STILL U DIDNT LOOKED CHECKED UP GUJARAT SEMICONDUCTOR POLICY .....
261,Shah Mashooq,$ 2.7 billions equals ₹ 22345 crores. ( @₹82.76/$)
262,ZeroWatt,None
263,Spandan Nanda,@CMOGuj pls take legal against this man
264,Bidyawant,Wo sab to thik hai par $2.7 billion kis calculator ke convert krne se ₹2274 cr hue batana jara
265,GetReal,"You have to start somewhere. This is how even S'pore, SK and china started."
266,Ratnesh Ojha,Read this
267,Shakti999,"@AshwiniVaishnaw on one hand these guys will cry about jobless youth and when it is created, they will try to find flaws with it.   Never seen a bunch of Indians who have issues with foreign companies moving their factories from China to India!"
268,ANIL KUMAR,"Ye bat tv , newspaper me nhi aayegi, aamlogon ko Ye beaten pata hi nhi lagne diya jata h taki modi bhakti bani rahe"
269,Rishi Pandey ऋषि पाण्डेय رشی پانڈے ,यह आज की बात नहीं है जब ट्रम्प के समय मे haudi मोदी नामक कार्यक्रम हुआ था अमेरिका मे तो इसका खर्चा भी भारत के जनता के पैसो से किया गया था!
270,TE,Saket Lootera tweet again.
271,Rishi Singh,any shock on 100 cr by @CMofKarnataka to establish a christian development corp.?
272,MD,Answer to why of this issue given by actress Kajols remark. Another term to BJP then  we will achieve over 50% below poverty  line by 2047 for sure.
273,Judy Eugene,I also agree there is a problem
274,Sourabh Jain,"You missed a ‘Zero’, $2.7 Bn is INR 22740 Crs 
@SaketGokhale"
275,जीनेष शाह,Why did Visionary ppl didn't started PR company owned by Govt of India....
276,Srivatsan Iyengar,Go get some maths tuition.
277,Vivek Pandey,mother of all scams
278,Gangstaa,"Bhosdike though your party name is TMC
Your ideology is equal to Communist
 @SaketGokhale takle"
279,Travel Addict,As long as Andh Bhakts are there to defend him. Anything is possible in this country.
280,समीर (Godspeed),I thought the Gujarati people were good at business. This sucks.
281,Ankit Nakoti,Manufacturing will eventually start . Some luring has to be done . When once starts a buisness evryone know from day one he diesng have lakhs of provit it comes gradually with time once assembly is done n they are ensured of smooth oprtns evntually manufacturing will start
282,King Of News,Shocking that only in India a born fraud like you gets bail. Crowdfunding thief. By just looking once at your face anybody can say you are a fraud. You are not acquitted you are on bail weirdo
283,போகன்,"Cost to Exchequer's 23Crores 
Its less for 5 years, should be more."
284,None,None
285,Ayan,"Micron can explore cheap labour in  India compared to China. 

So are you agitated that labour is cheap in India or China is missing out on business."
286,Siddharth Gore,Is chutiya ko kisne khula chod rakha hai
287,SachinKsd1,"U should look into M3M builder case of gurgaon too .. 
Huge illicit money flow into this company by BJP cronies .... Everyone in gurgaon 's real estate circle knows that Shah's son has direct involvement in the company . 
From Ranbaxy's siphoned money of shareholders to sudhansu… Show more"
288,LetsBeLogical,"Sir
Modiji has done it.
There must be a forethought behind.
कुछ सोच समझकर किया होगा"
289,Harshvardhan Singh,$2.7 billion is 2274 crores ? Check again
290,Sameer,"All these technicalities are not something Modi ji understands.

He is simply here to win elections at any cost.

The nation's money and people are just an open fund that he can use to fulfill his goal which is to stay in power, no matter the damage & cost to the nation."
291,Brian Shack,I hope you remember taxpayer's losses during freebies fistribution in Karnataka.
292,Shubham,@narendramodi clarify this ..
293,अश्वमेध ,Modi ji kithna b ghotale kare...kithna b import kare ..US ke saath sirf ek free export deal sign karna tha ..thuje export karne ka deal...With strict warning ..once the item crosses Indian borders.. warranty and guarantee is null and void..
294,D-street Musketeer,He's absolutely right. They are clearly misusing tax payers money.
295,anil goyal,"When you invited Enron what happened.
You invite foreign co ,do they pay taxes .no sp eco zones are made for them . No gst .
Look at Assam dehradun all co are there for tax exemption."
296,GS,2.7 billion USD is roughly 22000 Crores and not 2277 crore bro
297,Monkey Business,Tu phir andar jayega lagta hain 
298,ابوالکلام خان__ جامعہ ملیہ اسلامیہ __ نئی دہلی,Who is accountable ?
299,░I░K░A░Y░,Very expensive state dinner.
300,sathyan p,
301,Bhatakati Atma,इसीलिए मम्मी ने मेरी तुम्हे खाने पे बुलाया है। इन सबको पता है कि कैसे काम निकलना है एक आत्ममुग्ध आदमी से।
302,Pranesh Sheshagiri,Bc 1 billion dollars is around 8000 crores rupees
303,Sanjay Mahida,kyo re lootere ab tu gyan dega?
304,Fight1861,Check your math. US$2.7 equals INT 22000 crores !
305,Lakkad,None
306,socialmedia.do2,Great exposure.
307,S Sumanth,"If steps are between 'A-Z', public tend to expect step 'Z' directly, but don't know that 'Z' can't be reached directly  !! My opinion, even I wish to see TOT and manufacturing in India soon !!"
308,rangeela rasool,"The credibility of this article or tweet is as much as that of Zero you missed in ur calculations

FYI $2.7bn is not ₹2274crores"
309,Jibin Varghese,"All the people who kept saying that education and knowledge is not important to become a PM.  What have you all done. Atleast now correct your mistakes, otherwise even the piggy banks at home will be gone."
310,Malcha,"The answer to this is
BJP hatao desh bachao"
311,vaibhav sharma,Kejriwal ji ne theek hi kaha tha Angad raja ki tareef karke koi bhi deal sign karalo batao invest bhi india 70% kare aur usme bhi india main US ki company jime india ne invest kara usme zero stake ho ...yeh toh deal koi chutiya bhi nahin karega
312,riyaz ahmed,$ 2.7 b is not equal to 2200 crores
313,AKB,Bhonkte raho
314,Vimal,"A bitter truth from Modi's US visit.

India's Micron deal follows a curious business model...

India will pay 70% of the cost but Micron will own 100% of the plant.

The total cost of setting up the Micron plant in Gujarat is $2.75 billion with both the central and state government providing for 70% of the cost and the remaining 30% or $825 million will be provided by Micron. 

So what does India get for investing $1.92 billion?

As portrayed by drumbeaters the plant will not touch core technologies of designing and fabrication of chips instead the plant will package, assemble and test chips that are fabricated elsewhere.

Paying 70% of the cost while offering land and cheap labour so that a US company can get 100% of the ownership, in a segment where countries like Malaysia are streets ahead of India, is not investing in technology. It is simply a PR exercise.

https://asiatimes.com/2023/07/indias-micron-deal-follows-a-curious-business-model/…"
315,Sudeep Kumar,Go and challenge it in court. Who has stopped you if u hv enough evidence about this PR excercise? Hope u hv faith in our judiciary .
316,Raj Karnie,"Sudeep, Faith in judiciary is definitely doubtful after Babri masjid/Ram jabmabhumi verdict, no hearing on 370, Rafael deal.. and Rahul Gandhi conviction in fake case."
317,Raj Karnie,Wow! Good expose. No one knows what’s behind the curtains.
318,Jugaadu Bhaiya ,If your FM can grow crores of vegetables from his terrace then this project is more viable 
319,Sumit_De,"Sonetimes, for the sake of commoners, speak about Congress's wrongdoings....if people start pointing out, the list is such long,it won't fit in twitter's column....your principal woman and man are out on bail wrt National Herald Case ...aapna paap dholo congressiyon pahele"
320,Sumit_De,Justice collegium in India...go through this unbaised feature unlike @sardesairajdeep or @ravishndtv ...ravish bhai ab to ndtv nikal do
321,XM,"A tiny thing is missing, reference!"
322,Abhishek,Another fakery by congressi
323,Anurag Chandra /ಅನುರಾಗ ಚಂದರಾ / انوراگ چندرا,Best solution for India is to invest in R&D of new technologies instead of depending on other countries to setup their plants in India and transfer technologies. Would India have transferred technology  if we had those technologies? No country is fool enough to do this..
324,Praful  Chaudhari,"If this is true then what the heck is opposition doing... They are buzy in mutra politics, this kind of questions they should ask, but they are asking is just joke..."
325,arulmurugan ramkumar  #Modi4PM2024,"During your 70 years rule your party were sleeping so hard even Malaysia is streets ahead in electronic manufacturing
 It's trying to bring in marquee investments to sector without family middlemen hence buring"
326,Vimal,None
327,INDIA,"There is obviously more than,what meets the eye. No same person,however desperate he is,shall enter into such a compromised arrangement. There is a guaranteed secret deal camouflaged, benefiting bjp in its private capacity..."
328,Ranjit Kumar,Round tripping?????
329,manash,"He will die within next few yrs. so he should not be accountable in future. His lot's of project have immense loss for nation including ₹21000 cr Gujrat Gas scam when he was CM to recent Sea plane project, Vande Bharat, Clean Ganga. Huge loss of taxpayers money for scam."
330,Subbarao Chavali,"Old saying ' respect cannot be bought' is wrong. 

He buys respect by splurging tax money overseas, on propaganda events. 
Most NRIs believe he is managing India like no other."
331,suku suku ,Inc walo ko sirf 52 years old bache ki baat samajne ka kaam hai.
332,I li3i0lloi11lgO1il0Ljl0i1l1i00,Ye deshdrohi modi desh ko aur barbaad kar dega.
333,Anti-Bhakts,"The deal was for America to give publicity to modi and in return they get money. 
Modi does not care for money after all he is a jhola wala! 
Soon the entire country wil become full of people with empty jholas and full on jumala."
334,Divaker V Vittal ದಿವಾಕರ್ ವಿ ವಿಠ್ಠಲ್,everything should be probed in detail and those who imply losses directly and indirectly should be booked on charges knowing that the economic losses caused are in cahoots with an arm dealing company who may sell its wares for money which may serve our interests or not
335,Naya Bharat,Are you from @INCIndia ?
336,NilNoLimit,"Where is the document, pappu k latakte "
337,Old_Monk,Tumhare naam Mein INC Juda dekh ke Samajh gaya Tha ki tum kuch pappu Jaisi hi baat karoge
338,75 Years,Ok.. Enjoy this 
339,Rahul,"Thank god! atleast somebody got the numbers otherwise like rafael it will be kept secret in the name of ""NATIONAL INTEREST"""
340,Sunil Kumar Sharma,If only a Congi could ever understand industrial development.
341,ಬಭ್ರುವಾಹನ,Everything is Bitter for INC!!
342,Kara Kailadh (Monke),How many semiconductor factories we have in india? How many are willing to build them here without any such scheme. Why did in the past 70 we didn't had any such factories?
343,Neetesh Baghel,Paidaishi ho ya congress join karne ke baad hue ho
344,The Bong who knows Nothing,Piddi se kuch na ho payega. Jyada soch mat. Le  kha
345,Tiger ,It is for national security india needs chips Incase there is emergency
346,Umamaheswaran,If true challenge in court. Don’t spread false narrative. Already one false narrative on Raffle fizzled out. Now your boss has to work on his disqualification. Save your energy.
347,TheOne,"So what about technologies and job. That simply means government is buying huge opportunity, jobs and technology in $2 billion and you think it comes for free."
348,RK,So how exactly does @INCIndia do bussiness in India.  Kitna profit milta hai Parivaar ko
349,उत्कर्ष तिवारी(Utkarsh Tiwari),Source? From where it can be verified?...
350,S D ,"Okay..we trust you more than Modi.
Now go and fight election on this dubious analysis with no backing whatsoever."
351,Investor,"Modi chose politics as career to make easy/quick money and for lavish life style; He never liked India as evident in http://goo.gl/jVAHyw 

""If you want to test a man's CHARACTER, give him POWER"" -Abraham Lincoln (b. 1809)"
352,Santhosh Somashekaraiah,Behind Malaysia for a reason.. thanks to Congress
353,JSR,To the naysayer in you since you have INC as your last name nothing better could have been expected from you anyways.
354,KARMA,Congressi chap
355,Nidhi Singh,"Every deal done by motee nd company is shady and will only bring loss to India…
Hope these deals r alterable…
T"
356,renu kaul,Fake news being spread
357,sunilbarnabas,"Very true, the electoral bonds would have worked the deal."
358,Krish Nambiar,@Rajeev_GoI are there any merits to these stories that are being peddled?
359,KiloByte,"He's actually printed more money at the Mint and plans to circulate it, on behalf of Micron. In an inflationary market, more such money means, we're looking at upto 300% inflation, in the next quarter or year. And 2024 is effectively election year! Vegetables at price of silver."
360,Parul,Ye kaisi deal hai 
361,manash,When a foreign leader deal with particular Buisness he should travel with his entire expert commite that included with humans resource. They verify deal vitality. Unfortunately when he visited his chatter plane stack with cheerleader. He knew he is already received 80yr. Whatevr
362,Sanjay,"Big failure to showcase Gujarat as favourite destination for investments by Modi.  When there are no talents available locally, no big deal in trying for this false opportunity. One more false propaganda."
363,Darth Gluteus,Also- where did you find the details of the deal? Do you have a copy of the agreement? What is your source? Or are you just making it up based on Congress “sources”? You guys are not very good with facts and truth.
364,Sunil,"Biden took Feku, the Harvard Grad in ‘entire MBA’, for a ride & Bhakts think it’s a win for Amrit Kaal.  In return, all Feku got was a state dinner with POTUS.

What Gujjus don’t understand is US didn’t become the most affluent & powerful country in the world by fluke or luck."
365,Dattatri Samaga,"Hope the Twitter writer has studied the deal discreetly and minutely. Anyway, there are Congress stalwarts in the Parliament. Let them take cue from this Twitter and nail the government. Let us see what the govt.has to say."
366,Rakesh,Disappointed. I thought Gujus were better deal makers.
367,Barun Gupta,Are u a Congress supporter? They see something bad in everything that Modi-ji does.
368,GS-(Revolutionism),"While this isn't substantiated yet, we need to factor in the jobs it creates and the line opening to move to next steps ie. acquire core tech roles also..... justvlike an IT-outsourcer from US does not shift engn roles first bit started with L1/L2"
369,BRT,Assembling is the first step to manufacturing.
370,Balakrishna Sharma,See if you can do better.  I believe this is an entry into the mysterious hush hush world of cutting edge technology...U are literally starting from zero....
371,LMessi2022,"Jobs created, revenue generated, knowledge gained etc., THINK BIG!!! Investment is a one-time thing…"
372,N V BALASUBRAMANIAN,"1.Employment
2.What are the promoters holding in Pfizer,ABB,Siemens,Glaxo?.
3.We know Warren Anderson....."
373,i_respect_entropy,"Why would USA favor india anyway??? MODI is an incidental PM yo thr world ,he has no influence whatsoever, he has been played and this government doesn't even realize. He simply can't be a global leader and not respect democratic values. It doesn't work that way @BJP4India"
374,Amith,"Don't belittle Assembly and Testing operations. I have seen these industries across South Asia and how complex these technologies are. Even to get assembly and Testing in our country would be great starting step. Look at Malasia, Singapore etc. They don't have wafer manufacturing"
375,Hum Sab Ek Hai ,#ModiDisasterForIndia
376,BM Tilak,Modi wants chips at any cost.
377,GP and 69 others,Where did you copy this from ? Because from your DP and RT’s you look like a tomato potato guy
378,Prakash Dutta,"The factory will provide employment and genrate revenue all around, when a plant is set up workers their families, other surrounding people offering various services result in indirect income generation, labour is cheap for the company but enough for survival for many"
379,Dr Yogeesh Hosahalli,"Bhayya, aap POTATO chips khake, 3 peg lagaake so jao.  Electronic chip manufacturing is a complex process. India was nowhere and now putting a first step for the same. When you wake you will know"
380,Shaik Moinuddin,"BJP &CO...MODI & CO DESHA KO BARBAAD KARNE MAY LAGE HUVE HI....
JAI CONGRESS ....
JAI HERO OF THE NATION***RAHUL GANDHI JI***...
JAI KHARGE JI...AICC PRE"
381,Harish Doraiswamy,Is the 70% in debt or equity?
382,Brijesh,"Even more curious is the fact that such mega projects are mainly going to a particular state, Gujrat."
383,SAMEER,"You have raised a very important point , Please file a case against government as you also have battery of experienced lawyers,We can't allow our nation to be cheated.

I hope you or @INCIndia will file a case or it will remain an as usual SM 
rhetorics

Please confirm."
384,Muralidharan Gopal,And the exaggerated price for MQ-9 Armed Drones that doesn't have AI.
385,Al-ConGressi 10 Janpat-uddin MainoWala JabbarLal,If the CONS were in power signing this deal that would be 300% of this project cost in DamaadJi’s pocket with no plant.
386,MK,India will pay means who will pay ? Is it a govt to corporate contact ? Are you privy to the agreement ? Pappu
387,void god,"@HMOIndia this is serious threat to nation and pls investigate this guy..Though his claims about 70% subsidy is correct,he is underplaying importance in national security..pls take necessary steps.."
388,Shakti Gupta,"NICE 
PROPAGANDA !! 

WHY WE HAVE 
SO MANY RECTUM
IN
BUDHU’S
PARTY"
389,Manish Ambekar,Half cooked knowledge is dangerous Mr. Vimal if u have guts challenge it or keep u r mouth shut
390,Suresh Babu,Only fakesters are here. Inc fake star
391,विपुल भाटिया,First I was curious then I realised it's a congressi account. Pappu bhakts should stay away from economics.
392,Karthik Maknur,None
393,Vengabus,How did Malaysia get streets ahead of us?
394,aravindh Lic,Then file a case on them instead of tweeting. People don't believe any INC at all. I don't know whether cong can sit as opposition in 2024 also.
395,GLNMurthy,"75 yrs because of congress slavery to lobby money we couldnt enter in semi ,,now its time somehow we should enter and later we should plan up expansion"
396,Kritic,"Tagore used to write using an assumed name Takechand Thakur.

I'm searching for Fakechand"
397,KarHash Universe,May be money micron is investing is directly linked to Modi .
398,aseem takyar,"So, Apply Burnol."
399,Vishal111,See what your ring master was talking about HAL and now where it stands !! Remember any new thing we have to negotiate as per their terms and gradually it changes.. so far government has proved its willingness for made in india program so don’t doubt it ..
400,Debdas,This is not freebee brother. The autograph seeker had oil in his hands and the fingures too.
401,Pranabchakraborty,He sells national wealth for his image building.
402,Amit Patel,India gets knowledge .. u remember how bike business started .. indian company always dis partnership and then we are global leader .. same way we will do here as this investment heavy govt needs to support
403,Dr. Yuvraj Singh,"Didn't expected this from @narendramodi and @BJP4India !!

Kaha hai tum logo Ki conscious!!?

God bless my #IncredibleIndia "
404,हर्षुल,"Why would a chip making company give all the rights to a foreign govt, when their product us a hot seller? Also, why would I package and assemble a chip somewhere else from the place I am fabricating? Just to attract dust..."
405,Dadaji ,"Conversion Mafia will not be tolerated in India

How Hindu to christian conversion process starts ..from schools with free bibles....and missionaries who have are fully funded by foreign church coming as ""tourist"""
406,Mandeep ,"Aacha..another fakery started to fancy yours debates engaging supporters..same as alleged by yours side Anil Ambani given 30000 cr, Pegasus, Adani Hindenburg..and what not...."
407,Rab_Di_Gaddi11,@KapilSibal @DrAMSinghvi @SanjayAzadSln @AapKaGopalRai @MamataOfficial @MisaBharti
408,Bitconinᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,may be one Friend of him will take over then
409,COOK,"Use less thought,, Dwell deep,, semi conductors life cycle is 5 years plus to get it operational,one would start to develop tech it will take another 5 years 

It's a give n take,, start somewhere with Outsourcing not a bad deal, Resources assembly lines,, know how will get done"
410,भारत धर्म,"Yes, see how Sonia got semiconductor fabrication plants to India at much lower cost"
411,Shetty H.,Bhakts will never understand this model.
412,इं_डि_या,Modi does not have spine to do business with US. Simple.
413,radheyshyam khandelw,Ridiculous
414,Shivaram makanur,Lol ru product of INC lies factory? How much investment needed to chip manufacturing ind do u know? By the way wt is ur qualification other then product of INC lies factory?
415,Bluetick,"Your sponcer countries ""Christian countries "" , provided billions as capex support for semi conductor industry. Now they are using you so that India do not progress in this segment. Good try."
416,mura,"Drone Deal ki kya hua ? Shelf life of narrative propaganda katam ? 

Any guesses how many days do you think the ecosystems this narrative will last ?"
417,Siby Mathew,Another Jumla from Mr. Feku?
418,@iMagicalRenko,While Modi Ji working for creating world class infrastructure in length and breadth of country while others are busy in lecturebaji
419,Lalaland1829,Abe bhadwe you don't even understand business. Aise tho HAL will start making Being type planes !
420,Mahesh Pandey,"So this deal will get us nothing ???? Modi govt is spending for vacations ????? 

Don't give me the numbers to increase FDI in semi conductors and others why not think of understanding the business and let the employee train"
421,sharatkashyap,"Poor guy. When RG sign deal with China, this guy was in bathroom shivering."
422,Mansi,Khangressi are always opposed to India's Development keep crying
423,Miki More,Haha...
424,Suresh Kumar,This is your political statement. Any evidence to justify it
425,Madan lal,"Chutiya hai kya be.
Kuch bhi"
426,Sripathi,"One has to start somewhere. Nobody is giving or expecting charity. If you want, make concessions. One day maybe we can stand on our own. Do you know how India became leader in steel production??? In beginning making large scale steel was something similar. Nuclear as well."
427,Darth Gluteus,"In any deal, your standing matters. Ability to negotiate is based on standing. India is positioning itself as an alternative.We have no standing except cash and promise of stability. People who are making the deal have best interest of India at heart.They are doing their best 1/2"
428,Darth Gluteus,"2/2 Modi’s team is seasoned and dedicated. He does business like a Gujju. The results are there to see in many sectors. By contrast, Congressis are only good for self doubt, negativism, groveling to the west and being West’s cheerleaders. At least Modi is doing something…"
429,Akhil,अबे चल फर्जी कांग्रेसी
430,𝕤āոꚍ𝘰𝚂ȟ कामत,@elonmusk hope you got a better deal than this?
431,Ashish Kumar,It will provide jobs to people... Nikammme journalists won't be employed of course
432,shaun dias,"In real this makes no sense for indian 
When modi says make in India made by indian why is micron coming in the pica firstly 
The lion in make in India was made hy Japanese what can u expect 
Whatever modi is saying that's all stories. Just like North Korea chief 
People shld thn"
433,Modi 2.0 Kalyanam,None
434,Prashant Bhushan,"The Modi govt has refused travel visas to members of the US Commission on international religious freedom, to visit India & see the state of religious freedom in India.
Modi said any question of suppression of religious freedom in India is ridiculous & tolerance is in our DNA"
435,Ajay kumar,"Who is USA to lecture Indians.
Firstly see your own country.
Lier."
436,Sanjay Kumar PMP® PMI ACP®,"What's your challenge. Its our nation , its first. Rest is secondary. You are a human being and not a bug. Please behave."
437,JH,UPDATE... this is a 2016 issue.. SC Lawyer spreading fake news! @GoI_MeitY
438,JH,Bcos churches are responsible for current condition!
439,Niranjan JHA,मोदी सरकार ने वीजा अमेरिकन धर्म प्रचारक को नही दिया और फट रही है तुम जैसे बदनचूस की क्यों ?
440,Mohit Sharma,"Dalal spotted!
Prashant Bhushan i want to come to your house and check if everything is fine sexually between your wife and you, if your son is able to satisfy his wife or not?
Would you let me stay inside the room sir 
Sir, we don't need clearance from anyone to prove our… Show more"
441,Manish ,"ट्विट ऐसा करो कि लोग पूछे 

भाई तू इंडियन है कि पाकिस्तानी ??"
442,The Hawk Eye,"7-year-old video clip! In this interview, this dude said India denied visa third time. No place for evangelists' propaganda. Or else India would send a committee to USA to look into race discrimination, gun violence, and hunter biden laptop. None of them are good for democracy."
443,Naveen,Everyone knows how this US Commission on International Religious Freedom works. Are all commissions only for India? Top class hypocrisy.
444,Anil KB ,"Take your BP tablet on time & also tablets for constipation, else need for posting old videos comes more frequently"
445,Ashok Bijalwan अशोक बिजल्वाण ,"Fake news.
This video is from 2016.
Please take it down."
446,Alok gupta,"Check out what’s happening in Tunisia, Poland, Hungry, Britain, Sweden and France - you will love modi ji"
447, Alok,"Such type of commission not required in India any more.

We have seen their work during British India..."
448,Navodit,Freedom
449,Nadim Ahmed,agar aayenge to puri tarah se haqeeqat saamne aa jayega aur Modi ji ka India ka poll khul jayega.
450,Chaitanya Nagar,"In China there are Buddhists (or there used to be once), and Muslims too. Has this organisation tried contacting the Chinese authorities and enquire into the question of religious freedom there? Why some US organisations with a ‘holier than thou’ attitude  want to behave like a… Show more"
451,Vic Puli ,
452,Dr.Navhya,None
453,,None
454,Besesayo Kezo,"‘Hypocrisy is homage paid by vice to virtue.’ 
India is a secular and republic nation.
There’s nothing to hide from anyone.
‘The world is one family.’
Our DNA is composed of all the ingredients that made natural man.
Our instincts and behaviour are natural too. 
May God bless our… Show more"
455,Sunil Mehta,"Why aren't the visas issued to this team of three people?
The reasons could be two-fold.
1.  You are trying to hide the ground reality here, which is in contravention to your statement in USA recently.
2.  You are afraid of mass conversation to Christianity by a visit of three… Show more"
456,Gopal Goswami,We are shortly sending a delegation to examin the freedom of trrrorism the Jihadis & Kahlistanis enjoying USA against India.
457,Bill Meyer,"Step out of your comfort zone today!
Follow me for power encouragement!"
458,Nirmalyo Banerjee,US commission for religious freedom in India ? What do they have to do here. Good that they have rejected the visa. Let them go to china.
459,Gilbert D'Souza,"You can find yogis, sadhus, swamis, gurus and dongi babas in every flight  to the USA  Europe"
460,VINAY,Why some people in India are playing into the hands of foreign agencies to defame India and it's people.
461,𝘙𝘢𝘯𝘢 𝘗𝘳𝘢𝘵𝘢𝘱,"He is absolutely right . 

You jokers can try your best in implementing your anti India toolkit ...."
462,smallgenius21,Who the F is US to send an agency? We ain’t a vassal state -
463,Parma Nand ,"Mr.Bhushan file a writ petition before the supreme court, invoke planery powers, if it is not maintainable though chances are less,please file a petition before the International Court of Justice.
make a prayer, we brown,dirty Indians do not know how to rule ourselves,"
464,sharmila kopanathi,"GOI can further state that it is the minority M & C organizations that are parasitic, land looting, becoming biggest owners of land in India, preventing Hindu ownership of their temples, constant assault on Hindu assets & culture through forced conversions, mayhem and dupery."
465,blore_boy,"Why is someone in US considered to be police of the world?
When will certain ppl let go of their white skin slave mentality?
Let then care for their own problems such as police atrocities on blacks etc..."
466,Prafulla Kumar Nayak,Falsehood is in DNA of Modi. Why you fear if your conscience is clear.
467,जीनेष शाह,"Is this commission the owner of India?What is this commissions contribution in India's Development?
We don't want outsiders survey in India.
Try this in Afghanistan
Country which left Ammunitions worth millions in Afghanistan2go in the hands of Terrorists want2do survey in India."
468,Bharat Vijay,Time to send @TajinderBagga  to your office once again to repeat the 7 year old treatment given to open up your gobbar brajn
469,Shakti999,"Great decision by Modi govt. High time to keep break Indua forces out of country.  Also, the ones inside need to be dealt with strict punishment"
470,GKP,Seems you choke day and night with the name Modi.
471,सनातनी,We damn give shiiit to you and your commission
472,KSM KUMAR,"why dont these international xtian conversion religious freedom gang first bring back those christians who are not even going to church and leaving the xtianity in US, Europe? What this organisation did when lakhs of xtians have been killed in Iraq, Syria etc.?"
473,Nationalist,"Very good decision. We Hindustanis don't want our enemies come here,  creat disturbance with help of urban naxlites, lueytens sold out journalist, anti nationals"
474,भारत मां की बेटी ,"Sharing old videos just like ur old age.
Sold ur soul???"
475,Ardeshir Desai,A great loss to you and your LeLi cabal 
476,Indian.,"Lawmakers in  France have approved a bill that will allow police to secretly access the cameras, microphones and location of suspects via their mobile phones.

Nothing is safe.      Barath soil Democracy is alive in BJP rule with Honest & Transparent !!!"
477,navin sethia,U must go to Pakistan to see the situation of religious freedom as forceful conversion of christian is rampant
478,NarendraKumar Jain,Well done Modi. Such sponsored  and self proclaimed rating agencies had enough fun during the Indian government headed by weak PMs and slaves of a family. Now it's time to put them in their place. People are free to move to any of the  57 Islamic states safer than india.
479,Fine Gentleman,"Why deny visas if New India has nothing to hide? Also @ThomasReeseSJ is wrong one account. There's no conflict between Hindus and Muslims since 2014, instead minorities are being lynched by section of majority for superfluous reasons by vigilantes who has govt backing."
480,mahesh brijnandan,It's clearly admission by Modi govt that no religious freedom in India and violence against minorities specially Muslim community are being done in present regime
481,Nandita Pandey,"Yeah special invitation by the Mahagathbandhan to create ruckus in the country and then project it on world platform, coz for 10 years nothing wrong happened now they have started train accidents, discrimination story n what not. No one can stop Modi ji from coming to power again"
482,abhijit bhattacharya,Modi is a disgrace to our great civilization and there cannot be any second opinion about it. But that should not blind us towards many human rights organizations based in the US who are working in many countries to accomplish regime change
483,Deepika Govind,How about your team reviewing human rights violations in America against Indians by white rascists and terrorists Khalistanis???
484,Romesh Gupta,WHY OUTSIDERS COME IN INDIA & DO ILLEGAL SURVEY & CREATE HAVOC IN COUNTRY .
485,Vinod Chavan,"Glad they rejected it. Plebiscite bolne par jo haal tha, woh bhi Kya din the.  @CBNNews  the father who was speaking is utter lies. They come to India in the garb of religious freedom and run a rampant mass conversions racket and distribute free money. This needs to stop."
486,Sanjeev Prakash,Which country allows such visas to let others indulge in internal affairs? We expect a better argument and logical question from educated people like you!
487,TheProfessor,"US commission on International religious freedom members intentions are absolutely clear. A visit of few days and they would publish a report which is already prepared, to defame India by presenting distorted and half baked reports to the world. Good step by govt."
